# dataset: GeoCSV 2.0,,,,
# Event:,2024p826439,Depth: 5km,Magnitude: 4.2,
# Station:,Hawera High School HWHS,Lat: -39.585,Long: 174.274,
# Epicentral_distance_km:,111,,,
# Filtering:,Bandpass filter from 0.1 to 80 Hz,,,
# Component:,,HNZ: 0,HN1: 16,HN2: 106
# field_unit: UTF-8,UTC,m/s/s,m/s/s,m/s/s
# field_type: string,datetime,float,float,float
Stream,Time,Vertical,Horizontal 1,Horizontal 2
NZ_HWHS_21_HN,2024-11-01T18:46:16.810,-0.000232715,-6.51E-05,1.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.815,-8.82E-05,0.00016158,3.24E-06
NZ_HWHS_21_HN,2024-11-01T18:46:16.820,7.35E-05,5.94E-05,-0.000174826
NZ_HWHS_21_HN,2024-11-01T18:46:16.825,-0.000132063,-0.000248871,-0.000121254
NZ_HWHS_21_HN,2024-11-01T18:46:16.830,-9.91E-05,-0.000129706,1.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.835,-9.92E-06,-0.000111126,0.000219692
NZ_HWHS_21_HN,2024-11-01T18:46:16.840,-7.28E-05,-2.36E-06,-7.10E-06
NZ_HWHS_21_HN,2024-11-01T18:46:16.845,0.00011028,0.000143821,-0.000309141
NZ_HWHS_21_HN,2024-11-01T18:46:16.850,0.000201683,-0.000171555,-4.86E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.855,6.59E-05,-0.000226694,-9.67E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.860,0.000183816,1.88E-05,-0.00015487
NZ_HWHS_21_HN,2024-11-01T18:46:16.865,0.000452873,4.19E-05,9.31E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.870,0.000474377,-0.0001197,-6.67E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.875,0.000340427,-0.000141519,-0.000122399
NZ_HWHS_21_HN,2024-11-01T18:46:16.880,0.000309757,8.65E-05,-0.000119669
NZ_HWHS_21_HN,2024-11-01T18:46:16.885,0.000284277,9.74E-05,-0.000214477
NZ_HWHS_21_HN,2024-11-01T18:46:16.890,0.000245872,1.79E-05,-8.76E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.895,0.000224818,-5.93E-06,-9.90E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.900,0.000199129,-4.13E-05,-0.000153524
NZ_HWHS_21_HN,2024-11-01T18:46:16.905,0.000319128,0.0001415,-6.57E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.910,0.000262318,0.000156167,7.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.915,8.91E-05,0.000147999,5.05E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.920,0.000211773,0.000144548,-2.47E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.925,0.000165704,-0.00020665,9.32E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.930,-2.89E-05,-4.16E-05,3.50E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.935,-0.000116263,0.000204362,-2.34E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.940,-0.000236392,-0.000175517,6.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.945,-0.000150427,-0.000146599,0.000112815
NZ_HWHS_21_HN,2024-11-01T18:46:16.950,-5.41E-05,5.88E-05,7.58E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.955,-0.00017328,-5.93E-05,-8.97E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.960,-0.000293153,1.51E-06,-2.18E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.965,-0.000379857,9.71E-05,9.34E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.970,-0.000292682,3.67E-05,0.000131789
NZ_HWHS_21_HN,2024-11-01T18:46:16.975,-0.000162802,-4.19E-05,0.000212781
NZ_HWHS_21_HN,2024-11-01T18:46:16.980,-0.000321721,3.97E-05,0.000184231
NZ_HWHS_21_HN,2024-11-01T18:46:16.985,-0.000382534,8.65E-05,0.000212293
NZ_HWHS_21_HN,2024-11-01T18:46:16.990,-0.00018182,-9.82E-05,5.68E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.995,-0.000310048,-7.31E-05,5.11E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.000,-0.0005886,-0.000165652,0.000218201
NZ_HWHS_21_HN,2024-11-01T18:46:17.005,-0.000439563,-0.000409676,3.36E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.010,-0.000213227,-3.07E-05,0.000120546
NZ_HWHS_21_HN,2024-11-01T18:46:17.015,-0.000248814,0.000228183,8.30E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.020,-0.00026544,-1.88E-05,-0.000138949
NZ_HWHS_21_HN,2024-11-01T18:46:17.025,-0.000157356,-5.57E-05,4.43E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.030,-4.86E-05,-7.63E-05,-0.000112561
NZ_HWHS_21_HN,2024-11-01T18:46:17.035,-4.91E-06,-0.00011364,-0.000307985
NZ_HWHS_21_HN,2024-11-01T18:46:17.040,2.25E-05,-9.09E-05,-9.92E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.045,0.000147564,-0.000201314,-2.43E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.050,0.00016923,-0.000220666,4.02E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.055,0.000108744,-0.000197198,0.000193762
NZ_HWHS_21_HN,2024-11-01T18:46:17.060,0.000248578,-0.000109362,6.82E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.065,0.000400229,6.60E-05,-7.75E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.070,0.000404095,3.52E-05,8.67E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.075,0.000373309,-8.64E-05,0.000130682
NZ_HWHS_21_HN,2024-11-01T18:46:17.080,0.000535165,-0.000125751,0.000124592
NZ_HWHS_21_HN,2024-11-01T18:46:17.085,0.000662204,3.16E-05,0.000101057
NZ_HWHS_21_HN,2024-11-01T18:46:17.090,0.000460878,0.000180222,-0.000154823
NZ_HWHS_21_HN,2024-11-01T18:46:17.095,0.000427384,-3.41E-05,-0.000169406
NZ_HWHS_21_HN,2024-11-01T18:46:17.100,0.00052023,-0.000194977,-4.11E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.105,0.000512936,-8.31E-05,-2.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.110,0.000584837,-0.000102519,-8.20E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.115,0.000538615,-0.000229051,-0.00017359
NZ_HWHS_21_HN,2024-11-01T18:46:17.120,0.000390211,-6.93E-05,6.80E-06
NZ_HWHS_21_HN,2024-11-01T18:46:17.125,0.000198443,8.64E-05,-1.61E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.130,0.000109344,-0.000131389,-0.000336626
NZ_HWHS_21_HN,2024-11-01T18:46:17.135,5.27E-05,-0.000175295,-0.000256089
NZ_HWHS_21_HN,2024-11-01T18:46:17.140,-0.000242199,-5.26E-05,-0.000159253
NZ_HWHS_21_HN,2024-11-01T18:46:17.145,-0.000157619,-0.00012277,-0.000250678
NZ_HWHS_21_HN,2024-11-01T18:46:17.150,-1.06E-05,-6.09E-05,-0.000106278
NZ_HWHS_21_HN,2024-11-01T18:46:17.155,-0.000307096,1.41E-05,5.37E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.160,-0.000229687,-9.79E-05,9.26E-06
NZ_HWHS_21_HN,2024-11-01T18:46:17.165,-0.000151075,-0.000146734,-0.000109433
NZ_HWHS_21_HN,2024-11-01T18:46:17.170,-0.000402024,-0.000102576,-0.000132417
NZ_HWHS_21_HN,2024-11-01T18:46:17.175,-0.000294553,-5.49E-05,-8.90E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.180,-0.000156742,3.84E-05,-0.000127763
NZ_HWHS_21_HN,2024-11-01T18:46:17.185,-0.000242308,0.000131977,-0.000160691
NZ_HWHS_21_HN,2024-11-01T18:46:17.190,-0.000301089,0.000124014,-4.97E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.195,-0.000277115,0.000142544,0.000170045
NZ_HWHS_21_HN,2024-11-01T18:46:17.200,-0.000195492,0.000135732,0.000206922
NZ_HWHS_21_HN,2024-11-01T18:46:17.205,-0.000389742,7.29E-05,5.49E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.210,-0.000557354,5.74E-05,6.09E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.215,-0.000252069,-4.01E-05,0.00012462
NZ_HWHS_21_HN,2024-11-01T18:46:17.220,-7.99E-05,-7.11E-05,8.16E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.225,-0.000192052,-0.000123235,5.75E-06
NZ_HWHS_21_HN,2024-11-01T18:46:17.230,-0.000229946,-0.000194303,-5.94E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.235,-0.000278281,3.87E-05,1.74E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.240,-0.000299752,6.23E-05,8.17E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.245,-0.000340914,-0.000163804,-1.85E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.250,-0.000292572,-6.01E-05,3.72E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.255,-2.15E-05,0.000127574,7.34E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.260,3.99E-05,9.98E-05,-3.78E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.265,4.08E-05,7.67E-06,0.000103337
NZ_HWHS_21_HN,2024-11-01T18:46:17.270,0.00021745,-1.36E-05,7.63E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.275,0.000296162,-2.35E-05,-0.000163864
NZ_HWHS_21_HN,2024-11-01T18:46:17.280,0.00026442,-0.000143462,-0.000119715
NZ_HWHS_21_HN,2024-11-01T18:46:17.285,0.000127982,-0.000152547,-8.84E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.290,0.000107703,5.74E-05,4.87E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.295,0.000259352,-8.74E-06,0.000237112
NZ_HWHS_21_HN,2024-11-01T18:46:17.300,0.000328575,-0.000275525,0.000175166
NZ_HWHS_21_HN,2024-11-01T18:46:17.305,0.000263759,-0.00022956,0.00016804
NZ_HWHS_21_HN,2024-11-01T18:46:17.310,0.000183781,-6.65E-05,-2.52E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.315,0.000402414,-8.29E-06,-0.000147664
NZ_HWHS_21_HN,2024-11-01T18:46:17.320,0.000426758,-4.70E-05,4.21E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.325,0.00010687,-6.99E-05,-6.25E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.330,0.000159701,6.26E-05,-2.36E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.335,0.000223398,-3.99E-06,8.94E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.340,0.000191171,-0.00018655,-8.40E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.345,0.000176939,5.21E-05,8.91E-06
NZ_HWHS_21_HN,2024-11-01T18:46:17.350,6.62E-06,0.000183297,-0.000110808
NZ_HWHS_21_HN,2024-11-01T18:46:17.355,0.000201842,-8.29E-05,-0.000252026
NZ_HWHS_21_HN,2024-11-01T18:46:17.360,0.000320171,-9.60E-05,3.55E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.365,2.77E-05,-2.02E-05,-5.66E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.370,5.89E-05,-9.54E-05,-0.000158828
NZ_HWHS_21_HN,2024-11-01T18:46:17.375,0.000228873,-6.15E-05,-0.000163202
NZ_HWHS_21_HN,2024-11-01T18:46:17.380,0.000227451,5.34E-05,-0.000363033
NZ_HWHS_21_HN,2024-11-01T18:46:17.385,0.000154984,2.63E-05,-0.000214962
NZ_HWHS_21_HN,2024-11-01T18:46:17.390,1.10E-05,-0.000118164,-7.99E-05
NZ_HWHS_21_HN,2024-11-01T18:46:17.395,-0.000142151,-4.14E-05,-0.000104226
